symbol,timeframe,direction,honest_execution_tier,wae,risk_budget_usd,position_notional_usd,leg1_usd,leg2_usd,leg3_usd,leg4_usd,stop_loss,tp1,tp2,tp3,dca_profile
AAVE/USDT,1d,LONG,probe,92.877431,151.25,1175.58,117.56,235.12,352.67,470.23,80.92785,102.574931,112.272431,93.03,pyramid_4
AAVE/USDT,1h,LONG,probe,92.720675,113.58,3346.92,334.69,669.38,1004.08,1338.77,89.574279,96.458889,100.197104,93.03,pyramid_4
AAVE/USDT,1w,LONG,probe,92.724025,226.88,8464.9,846.49,1692.98,2539.47,3385.96,90.23885,94.119625,95.515225,93.03,pyramid_4
ADA/USDT,15m,SHORT,probe,0.14768944,62.5,10086.64,1008.66,2017.33,3025.99,4034.66,0.14860457,0.14643587,0.1451823,0.1472,pyramid_4
ADA/USDT,1d,SHORT,probe,0.1474944,125.0,977.92,293.38,684.55,,,0.16634743,0.13215154,0.11680869,0.1472,two_layer_30_70
ADA/USDT,1h,SHORT,probe,0.14768944,93.75,4825.33,482.53,965.07,1447.6,1930.13,0.15055886,0.14441087,0.1411323,0.1472,pyramid_4
ADA/USDT,1w,SHORT,probe,0.1477152,187.5,7100.24,2130.07,4970.17,,,0.151616,0.1455072,0.1432992,0.1472,two_layer_30_70
AGLD/USDT,15m,SHORT,probe,0.21495194,62.5,1688.74,168.87,337.75,506.62,675.49,0.22290729,0.20138765,0.18782337,0.2146,pyramid_4
AGLD/USDT,1d,SHORT,probe,0.21495194,125.0,725.86,72.59,145.17,217.76,290.34,0.25196871,0.18470551,0.15445908,0.2146,pyramid_4
AGLD/USDT,1h,SHORT,probe,0.21495194,93.75,879.18,87.92,175.84,263.75,351.67,0.237873,0.18720194,0.15945194,0.2146,pyramid_4
AGLD/USDT,1w,SHORT,probe,0.21531354,187.5,7052.42,705.24,1410.48,2115.73,2820.97,0.221038,0.21209454,0.20887554,0.2146,pyramid_4
ALLO/USDT,15m,SHORT,probe,0.33618388,62.5,2456.49,245.65,491.3,736.95,982.6,0.34473735,0.32119888,0.30621388,0.33507,pyramid_4
ALLO/USDT,1d,SHORT,probe,0.33618388,125.0,6374.48,637.45,1274.9,1912.34,2549.79,0.34277626,0.33115783,0.32613178,0.33507,pyramid_4
ALLO/USDT,1h,SHORT,probe,0.3356194,93.75,1656.84,165.68,331.37,497.05,662.74,0.35460992,0.31328869,0.29095797,0.33507,pyramid_4
ALLO/USDT,1w,SHORT,probe,0.3356194,187.5,6599.86,659.99,1319.97,1979.96,2639.94,0.34515425,0.33057385,0.3255283,0.33507,pyramid_4
BTC/USDT,15m,SHORT,full,59928.702583,250.0,56090.95,5609.09,11218.19,16827.28,22436.38,60195.807643,59615.47044,59302.238297,59730.1,pyramid_4
BTC/USDT,1d,SHORT,probe,59828.057364,125.0,1783.75,178.38,356.75,535.13,713.5,64020.623357,56501.49665,53174.935935,59730.1,pyramid_4
BTC/USDT,1h,SHORT,probe,59998.88545,93.75,6860.73,686.07,6174.66,,,60818.753357,59011.381879,58023.878307,59730.1,two_layer_10_90
BTC/USDT,1w,SHORT,probe,59828.057364,187.5,710.85,71.08,142.17,213.25,284.34,75608.893357,50479.97165,41131.885935,59730.1,pyramid_4
CARDS/USDT,1h,LONG,probe,0.25166077,113.58,3008.54,300.85,601.71,902.56,1203.42,0.24216036,0.2630072,0.27435363,0.2525,pyramid_4
